Transaction_ID,Customer_ID,Gender,Age,Category,Quantity,Unit_Price,Discount,Date,Store_Region,Online_Or_Offline,Payment_Method,Total_Amount
TXN-00019,CUST-3247,Female,36,Grocery,6,71.21,0.02,2020-01-03,West,Offline,Credit Card,418.71
TXN-00020,CUST-5586,Female,36,Grocery,10,66.61,0.01,2020-01-03,South,Offline,Digital Wallet,659.44
TXN-00021,CUST-5011,Female,33,Beauty,5,148.7,0.1,2020-01-03,East,Offline,Cash,669.15
TXN-00022,CUST-2442,Male,18,Electronics,1,600.0,0.14,2020-01-03,East,Online,Debit Card,516.0
TXN-00023,CUST-0407,Male,49,Beauty,4,134.39,0.11,2020-01-03,West,Online,Digital Wallet,478.43
TXN-00024,CUST-4301,Male,39,Furniture,3,1875.0,0.06,2020-01-04,West,Online,Debit Card,5287.5
TXN-00025,CUST-4502,Female,40,Clothing,6,262.1,0.1,2020-01-04,North,Online,Debit Card,1415.34
TXN-00026,CUST-1225,Female,35,Clothing,3,129.01,0.22,2020-01-04,East,Online,Digital Wallet,301.88
TXN-00027,CUST-9048,Male,35,Clothing,1,131.67,0.11,2020-01-04,North,Offline,Digital Wallet,117.19
TXN-00028,CUST-7932,Female,18,Grocery,5,22.53,0.01,2020-01-04,East,Online,Credit Card,111.52
TXN-00029,CUST-2878,Female,34,Clothing,2,252.52,0.15,2020-01-04,West,Offline,Credit Card,429.28
TXN-00030,CUST-8793,Female,52,Grocery,8,25.27,0.05,2020-01-04,West,Offline,Debit Card,192.05
TXN-00031,CUST-7915,Male,41,Furniture,3,432.98,0.19,2020-01-04,North,Online,Digital Wallet,1052.14
TXN-00032,CUST-0870,Female,63,Clothing,2,136.51,0.11,2020-01-05,South,Offline,Cash,242.99
TXN-00033,CUST-3767,Male,18,Beauty,2,120.76,0.1,2020-01-05,South,Online,Debit Card,217.37
TXN-00034,CUST-2070,Male,62,Clothing,4,279.31,0.26,2020-01-05,West,Offline,Credit Card,826.76
TXN-00035,CUST-3964,Female,39,Furniture,2,591.82,0.19,2020-01-05,North,Offline,Digital Wallet,958.75
TXN-00036,CUST-1152,Male,36,Furniture,3,1018.21,0.17,2020-01-05,West,Online,Digital Wallet,2535.34
TXN-00037,CUST-3045,Female,28,Furniture,2,1576.83,0.07,2020-01-05,North,Online,Credit Card,2932.9
TXN-00038,CUST-2315,Female,32,Clothing,2,271.64,0.23,2020-01-05,North,Offline,Cash,418.33
TXN-00039,CUST-2495,Male,28,Electronics,4,278.51,0.05,2020-01-05,North,Online,Credit Card,1058.34
TXN-00040,CUST-1525,Female,48,Beauty,3,39.09,0.15,2020-01-05,North,Offline,Debit Card,99.68
TXN-00041,CUST-4108,Male,22,Clothing,3,312.0,0.32,2020-01-05,North,Online,Credit Card,636.48
TXN-00042,CUST-4230,Male,66,Electronics,2,234.86,0.03,2020-01-06,North,Offline,Credit Card,455.63
TXN-00043,CUST-0655,Male,77,Grocery,13,33.18,0.07,2020-01-06,South,Online,Digital Wallet,401.15
TXN-00044,CUST-2166,Female,67,Clothing,2,318.75,0.15,2020-01-06,East,Online,Credit Card,541.88
TXN-00045,CUST-8920,Male,38,Beauty,5,205.82,0.12,2020-01-06,South,Online,Digital Wallet,905.61
TXN-00046,CUST-6632,Female,23,Beauty,3,147.38,0.23,2020-01-06,East,Offline,Digital Wallet,340.45
TXN-00047,CUST-7800,Female,61,Furniture,3,1286.2,0.16,2020-01-06,East,Online,Digital Wallet,3241.22
TXN-00048,CUST-5574,Female,30,Furniture,5,547.43,0.24,2020-01-06,South,Online,Credit Card,2080.23
TXN-00049,CUST-3520,Female,18,Clothing,2,157.14,0.14,2020-01-06,North,Online,Credit Card,270.28
TXN-00050,CUST-4161,Male,42,Clothing,3,231.6,0.16,2020-01-06,North,Offline,Debit Card,583.63
TXN-00051,CUST-8296,Male,28,Electronics,2,244.02,0.06,2020-01-07,East,Online,Credit Card,458.76
TXN-00052,CUST-5997,Female,30,Beauty,5,63.9,0.05,2020-01-07,East,Online,Digital Wallet,303.52
TXN-00053,CUST-2259,Male,54,Clothing,1,357.58,0.09,2020-01-07,East,Online,Credit Card,325.4
TXN-00054,CUST-9572,Male,70,Electronics,3,236.1,0.07,2020-01-07,North,Online,Digital Wallet,658.72
TXN-00055,CUST-1911,Male,56,Grocery,9,38.91,0.03,2020-01-07,South,Offline,Credit Card,339.68
TXN-00056,CUST-2048,Female,35,Electronics,1,177.92,0.09,2020-01-07,South,Online,Digital Wallet,161.91
TXN-00057,CUST-9828,Female,18,Beauty,2,142.99,0.15,2020-01-07,South,Online,Digital Wallet,243.08
TXN-00058,CUST-0076,Female,29,Clothing,2,203.05,0.15,2020-01-07,North,Offline,Credit Card,345.18
TXN-00059,CUST-1051,Male,39,Furniture,2,1085.14,0.16,2020-01-07,West,Online,Debit Card,1823.04
TXN-00060,CUST-9981,Female,41,Clothing,5,428.62,0.13,2020-01-08,East,Online,Credit Card,1864.5
TXN-00061,CUST-2353,Male,22,Clothing,4,312.0,0.15,2020-01-08,North,Online,Credit Card,1060.8
TXN-00062,CUST-6564,Female,41,Beauty,1,167.0,0.15,2020-01-08,East,Online,Digital Wallet,141.95
TXN-00063,CUST-8603,Male,18,Grocery,8,42.28,0.08,2020-01-08,East,Offline,Digital Wallet,311.18
TXN-00064,CUST-6718,Male,60,Beauty,3,40.26,0.11,2020-01-08,South,Offline,Credit Card,107.49
TXN-00065,CUST-9902,Male,39,Beauty,3,144.82,0.12,2020-01-08,East,Offline,Cash,382.32
TXN-00066,CUST-6903,Male,69,Electronics,1,414.02,0.07,2020-01-08,North,Offline,Digital Wallet,385.04
TXN-00067,CUST-5190,Female,21,Grocery,16,43.89,0.03,2020-01-08,East,Offline,Digital Wallet,681.17
TXN-00068,CUST-9464,Male,34,Furniture,2,1107.61,0.18,2020-01-09,West,Offline,Debit Card,1816.48
TXN-00069,CUST-5583,Female,54,Beauty,2,145.87,0.1,2020-01-09,North,Online,Digital Wallet,262.57
TXN-00070,CUST-3221,Female,35,Clothing,3,196.11,0.06,2020-01-09,South,Online,Credit Card,553.03
TXN-00071,CUST-8363,Male,31,Furniture,5,735.61,0.1,2020-01-09,North,Offline,Cash,3310.25
TXN-00072,CUST-2693,Female,57,Clothing,1,98.07,0.12,2020-01-09,North,Online,Debit Card,86.3
TXN-00073,CUST-0203,Female,72,Grocery,14,56.88,0.03,2020-01-09,West,Online,Credit Card,772.43
TXN-00074,CUST-8808,Male,42,Electronics,3,258.24,0.12,2020-01-09,East,Online,Digital Wallet,681.75
TXN-00075,CUST-6623,Female,37,Beauty,2,250.0,0.08,2020-01-09,West,Online,Credit Card,460.0
TXN-00076,CUST-4683,Male,51,Furniture,1,1725.0,0.14,2020-01-10,West,Offline,Debit Card,1483.5
TXN-00077,CUST-3004,Male,28,Electronics,2,258.65,0.09,2020-01-10,North,Offline,Debit Card,470.74
TXN-00078,CUST-3766,Female,43,Beauty,2,46.42,0.13,2020-01-10,North,Online,Credit Card,80.77
TXN-00079,CUST-3531,Male,38,Electronics,2,214.8,0.08,2020-01-10,East,Online,Debit Card,395.23
TXN-00080,CUST-9429,Female,46,Clothing,3,143.17,0.1,2020-01-10,South,Online,Digital Wallet,386.56
TXN-00081,CUST-2063,Male,53,Grocery,8,51.44,0.03,2020-01-11,South,Offline,Debit Card,399.17
TXN-00082,CUST-0892,Female,52,Beauty,1,128.18,0.14,2020-01-11,West,Offline,Cash,110.23
TXN-00083,CUST-8328,Female,36,Grocery,12,23.21,0.05,2020-01-11,East,Offline,Cash,264.59
TXN-00084,CUST-3456,Male,37,Clothing,5,377.95,0.23,2020-01-11,North,Online,Credit Card,1455.11
TXN-00085,CUST-6387,Female,41,Furniture,1,898.88,0.14,2020-01-11,West,Online,Digital Wallet,773.04
TXN-00086,CUST-7414,Female,33,Beauty,6,140.02,0.12,2020-01-11,East,Online,Debit Card,739.31
TXN-00087,CUST-8459,Female,35,Grocery,11,46.5,0.02,2020-01-12,East,Online,Digital Wallet,501.27
TXN-00088,CUST-8038,Male,47,Beauty,2,168.65,0.13,2020-01-12,West,Offline,Credit Card,293.45
TXN-00089,CUST-7831,Female,43,Grocery,9,50.86,0.02,2020-01-12,West,Online,Credit Card,448.59
TXN-00090,CUST-6217,Male,67,Grocery,15,34.38,0.04,2020-01-12,East,Offline,Cash,495.07
TXN-00091,CUST-1256,Male,67,Furniture,3,1195.31,0.19,2020-01-12,East,Online,Digital Wallet,2904.6
TXN-00092,CUST-8023,Female,32,Clothing,6,359.47,0.17,2020-01-12,North,Online,Digital Wallet,1790.16
TXN-00093,CUST-8148,Female,29,Grocery,10,21.34,0.06,2020-01-13,South,Offline,Debit Card,200.6
TXN-00094,CUST-7790,Male,48,Clothing,2,355.43,0.1,2020-01-13,West,Offline,Cash,639.77
TXN-00095,CUST-6966,Female,46,Electronics,2,241.6,0.09,2020-01-13,West,Online,Digital Wallet,439.71
TXN-00096,CUST-9916,Male,69,Beauty,2,34.26,0.07,2020-01-13,East,Online,Debit Card,63.72
TXN-00097,CUST-0701,Male,35,Beauty,1,87.52,0.18,2020-01-13,North,Offline,Cash,71.77
TXN-00098,CUST-1663,Female,46,Beauty,3,130.44,0.07,2020-01-13,West,Online,Digital Wallet,363.93
TXN-00099,CUST-6119,Male,43,Clothing,1,227.16,0.16,2020-01-13,West,Offline,Cash,190.81
TXN-00100,CUST-0523,Female,48,Beauty,5,213.73,0.13,2020-01-13,West,Online,Debit Card,929.73
TXN-00101,CUST-4284,Male,19,Clothing,3,320.0,0.16,2020-01-14,West,Offline,Credit Card,806.4
TXN-00102,CUST-6462,Male,54,Grocery,8,58.56,0.01,2020-01-14,West,Offline,Credit Card,463.8
TXN-00103,CUST-6758,Female,45,Electronics,1,367.12,0.12,2020-01-15,South,Online,Digital Wallet,323.07
TXN-00104,CUST-3421,Female,31,Grocery,7,82.18,0.07,2020-01-15,West,Online,Debit Card,534.99
TXN-00105,CUST-7772,Female,56,Clothing,3,169.45,0.08,2020-01-15,North,Online,Debit Card,467.68
TXN-00106,CUST-7748,Male,27,Clothing,2,237.98,0.3,2020-01-16,North,Offline,Debit Card,333.17
TXN-00107,CUST-6101,Male,68,Clothing,6,209.03,0.18,2020-01-16,East,Offline,Debit Card,1028.43
TXN-00108,CUST-5160,Female,71,Clothing,1,66.57,0.12,2020-01-16,East,Offline,Cash,58.58
TXN-00109,CUST-9693,Female,38,Electronics,2,555.76,0.07,2020-01-16,North,Offline,Cash,1033.71
TXN-00110,CUST-8356,Male,31,Electronics,3,134.54,0.03,2020-01-17,North,Online,Digital Wallet,391.51
TXN-00111,CUST-0500,Female,30,Beauty,5,142.71,0.12,2020-01-17,West,Online,Debit Card,627.92
TXN-00112,CUST-6303,Male,18,Grocery,7,64.51,0.01,2020-01-17,East,Offline,Cash,447.05
TXN-00113,CUST-0081,Male,52,Grocery,9,64.85,0.05,2020-01-17,South,Online,Digital Wallet,554.47
TXN-00114,CUST-8149,Female,42,Clothing,2,137.57,0.14,2020-01-18,South,Offline,Cash,236.62
TXN-00115,CUST-6227,Female,43,Furniture,2,628.7,0.24,2020-01-18,South,Online,Credit Card,955.62
TXN-00116,CUST-5874,Male,52,Grocery,10,92.62,0.01,2020-01-18,North,Offline,Credit Card,916.94
TXN-00117,CUST-8956,Female,38,Clothing,3,146.46,0.21,2020-01-18,West,Online,Credit Card,347.11
TXN-00118,CUST-3810,Female,35,Electronics,2,461.86,0.06,2020-01-19,West,Online,Credit Card,868.3
TXN-00119,CUST-9706,Male,41,Clothing,6,193.46,0.09,2020-01-19,South,Offline,Cash,1056.29
TXN-00120,CUST-5611,Female,61,Beauty,3,52.62,0.12,2020-01-20,North,Online,Credit Card,138.92
TXN-00121,CUST-4131,Male,45,Grocery,10,50.94,0.04,2020-01-20,West,Offline,Debit Card,489.02
TXN-00122,CUST-4180,Female,46,Grocery,13,72.98,0.05,2020-01-20,North,Offline,Cash,901.3
TXN-00123,CUST-5535,Male,53,Clothing,3,109.3,0.16,2020-01-20,South,Offline,Debit Card,275.44
TXN-00124,CUST-6623,Female,18,Clothing,1,175.13,0.12,2020-01-21,West,Online,Debit Card,154.11
TXN-00125,CUST-2761,Female,22,Furniture,1,734.65,0.12,2020-01-21,East,Offline,Credit Card,646.49
TXN-00126,CUST-1012,Male,45,Electronics,2,274.61,0.05,2020-01-21,North,Online,Credit Card,521.76
TXN-00127,CUST-6903,Male,37,Grocery,9,63.32,0.02,2020-01-21,North,Offline,Debit Card,558.48
TXN-00128,CUST-7915,Female,23,Grocery,5,78.0,0.05,2020-01-22,North,Online,Digital Wallet,370.5
TXN-00129,CUST-6214,Male,41,Beauty,2,250.0,0.12,2020-01-22,West,Offline,Credit Card,440.0
TXN-00130,CUST-6744,Male,38,Furniture,1,795.45,0.21,2020-01-22,North,Online,Debit Card,628.41
TXN-00131,CUST-4426,Male,55,Clothing,1,91.74,0.16,2020-01-23,North,Online,Digital Wallet,77.06
TXN-00132,CUST-3903,Female,27,Beauty,5,134.93,0.08,2020-01-23,West,Online,Credit Card,620.68
TXN-00133,CUST-7126,Female,26,Electronics,1,880.0,0.03,2020-01-23,West,Online,Debit Card,853.6
TXN-00134,CUST-8611,Female,48,Furniture,1,971.97,0.12,2020-01-24,North,Offline,Credit Card,855.33
TXN-00135,CUST-7117,Male,26,Grocery,7,24.48,0.03,2020-01-24,South,Online,Digital Wallet,166.22
TXN-00136,CUST-0892,Female,45,Clothing,3,87.82,0.2,2020-01-24,West,Offline,Debit Card,210.77
TXN-00137,CUST-3933,Male,39,Furniture,1,1616.82,0.11,2020-01-24,East,Offline,Credit Card,1438.97
TXN-00138,CUST-8960,Male,43,Electronics,2,417.65,0.07,2020-01-24,West,Offline,Cash,776.83
TXN-00139,CUST-6652,Female,40,Furniture,3,1425.58,0.21,2020-01-24,South,Offline,Credit Card,3378.62
TXN-00140,CUST-4823,Female,52,Grocery,7,23.31,0.04,2020-01-25,East,Offline,Credit Card,156.64
TXN-00141,CUST-6158,Female,42,Furniture,4,815.55,0.07,2020-01-25,South,Online,Credit Card,3033.85
TXN-00142,CUST-0401,Female,48,Grocery,12,54.71,0.06,2020-01-25,North,Online,Digital Wallet,617.13
TXN-00143,CUST-3039,Male,64,Grocery,8,44.15,0.09,2020-01-25,South,Offline,Credit Card,321.41
TXN-00144,CUST-8769,Male,18,Beauty,1,99.92,0.14,2020-01-25,East,Online,Credit Card,85.93
TXN-00145,CUST-7483,Male,53,Furniture,2,711.8,0.11,2020-01-25,West,Online,Credit Card,1267.0
TXN-00146,CUST-5831,Female,39,Clothing,3,202.2,0.23,2020-01-25,North,Online,Credit Card,467.08
TXN-00147,CUST-2234,Female,37,Grocery,5,66.56,0.06,2020-01-26,West,Offline,Digital Wallet,312.83
TXN-00148,CUST-0489,Male,46,Clothing,4,177.54,0.26,2020-01-26,West,Online,Digital Wallet,525.52
TXN-00149,CUST-3904,Female,48,Electronics,3,318.65,0.08,2020-01-26,North,Offline,Digital Wallet,879.47
TXN-00150,CUST-1072,Male,21,Electronics,1,159.52,0.04,2020-01-26,North,Online,Credit Card,153.14
TXN-00151,CUST-9859,Male,19,Electronics,2,253.62,0.03,2020-01-26,North,Online,Credit Card,492.02
TXN-00152,CUST-8501,Male,42,Clothing,1,253.88,0.08,2020-01-26,South,Offline,Digital Wallet,233.57
TXN-00153,CUST-5831,Female,49,Grocery,4,40.48,0.08,2020-01-26,North,Online,Debit Card,148.97
TXN-00154,CUST-1870,Female,74,Grocery,11,40.61,0.05,2020-01-26,East,Offline,Digital Wallet,424.37
TXN-00155,CUST-5887,Female,33,Clothing,4,236.47,0.11,2020-01-26,East,Offline,Credit Card,841.83
TXN-00156,CUST-4443,Female,51,Grocery,7,35.99,0.06,2020-01-26,North,Online,Digital Wallet,236.81
TXN-00157,CUST-1886,Female,18,Clothing,1,216.22,0.22,2020-01-27,East,Online,Debit Card,168.65
TXN-00158,CUST-9481,Female,60,Grocery,10,97.5,0.02,2020-01-27,North,Online,Digital Wallet,955.5
TXN-00159,CUST-6695,Female,35,Electronics,1,604.82,0.02,2020-01-27,West,Offline,Debit Card,592.72
TXN-00160,CUST-2691,Female,32,Grocery,14,45.67,0.05,2020-01-27,South,Offline,Credit Card,607.41
TXN-00161,CUST-2070,Female,67,Beauty,3,77.88,0.13,2020-01-27,West,Offline,Digital Wallet,203.27
TXN-00162,CUST-4293,Male,22,Clothing,6,209.42,0.16,2020-01-27,South,Online,Digital Wallet,1055.48
TXN-00163,CUST-4199,Female,37,Furniture,1,651.49,0.15,2020-01-27,East,Offline,Credit Card,553.77
TXN-00164,CUST-6082,Female,28,Beauty,1,63.79,0.14,2020-01-28,East,Offline,Cash,54.86
TXN-00165,CUST-1211,Female,42,Electronics,1,177.39,0.05,2020-01-28,South,Offline,Debit Card,168.52
TXN-00166,CUST-3810,Male,54,Electronics,3,920.0,0.08,2020-01-28,West,Online,Digital Wallet,2539.2
TXN-00167,CUST-6096,Male,69,Electronics,1,317.87,0.06,2020-01-28,West,Offline,Cash,298.8
TXN-00168,CUST-4804,Female,62,Grocery,9,45.6,0.06,2020-01-28,West,Online,Digital Wallet,385.78
TXN-00169,CUST-6019,Female,28,Furniture,4,1206.57,0.13,2020-01-29,East,Offline,Cash,4198.86
TXN-00170,CUST-8530,Female,18,Electronics,2,209.74,0.04,2020-01-29,East,Online,Digital Wallet,402.7
TXN-00171,CUST-7099,Male,46,Grocery,10,37.26,0.04,2020-01-29,South,Online,Debit Card,357.7
TXN-00172,CUST-2636,Female,53,Grocery,10,79.59,0.09,2020-01-29,North,Offline,Credit Card,724.27
TXN-00173,CUST-0732,Male,41,Clothing,4,183.06,0.17,2020-01-29,East,Online,Credit Card,607.76
TXN-00174,CUST-9916,Male,20,Electronics,1,505.92,0.02,2020-01-29,North,Offline,Debit Card,495.8
TXN-00175,CUST-0043,Male,31,Electronics,3,217.71,0.1,2020-01-29,East,Online,Credit Card,587.82
TXN-00176,CUST-5799,Female,37,Grocery,7,49.72,0.03,2020-01-29,West,Online,Debit Card,337.6
TXN-00177,CUST-3012,Female,41,Furniture,5,508.75,0.09,2020-01-30,East,Offline,Credit Card,2314.81
TXN-00178,CUST-8731,Male,55,Electronics,5,598.28,0.14,2020-01-30,North,Offline,Digital Wallet,2572.6
TXN-00179,CUST-7004,Female,28,Beauty,4,109.4,0.14,2020-01-30,North,Online,Credit Card,376.34
TXN-00180,CUST-3543,Female,46,Electronics,4,394.06,0.09,2020-01-30,West,Offline,Cash,1434.38
TXN-00181,CUST-6655,Male,50,Beauty,2,103.24,0.17,2020-01-30,North,Offline,Digital Wallet,171.38
TXN-00182,CUST-8415,Male,24,Clothing,4,178.53,0.21,2020-01-30,East,Online,Digital Wallet,564.15
TXN-00183,CUST-9035,Male,21,Electronics,4,576.0,0.11,2020-01-31,South,Offline,Credit Card,2050.56
TXN-00184,CUST-7446,Female,64,Grocery,7,98.66,0.06,2020-01-31,West,Online,Digital Wallet,649.18
TXN-00185,CUST-8478,Female,18,Electronics,2,459.18,0.11,2020-01-31,West,Online,Debit Card,817.34
TXN-00186,CUST-7984,Female,43,Furniture,1,712.34,0.06,2020-01-31,East,Offline,Credit Card,669.6
TXN-00187,CUST-2533,Female,50,Clothing,3,331.79,0.12,2020-01-31,East,Offline,Cash,875.93
TXN-00188,CUST-0152,Male,53,Clothing,3,316.88,0.12,2020-01-31,East,Offline,Digital Wallet,836.56
TXN-00189,CUST-3393,Male,37,Electronics,1,326.1,0.18,2020-02-01,North,Online,Digital Wallet,267.4
TXN-00190,CUST-0705,Male,40,Electronics,3,236.88,0.06,2020-02-01,East,Offline,Debit Card,668.0
TXN-00191,CUST-0604,Female,37,Beauty,1,199.38,0.15,2020-02-01,West,Online,Credit Card,169.47
TXN-00192,CUST-7915,Male,49,Furniture,5,791.02,0.18,2020-02-01,North,Online,Credit Card,3243.18
TXN-00193,CUST-7362,Female,44,Beauty,2,116.42,0.18,2020-02-01,West,Online,Credit Card,190.93
TXN-00194,CUST-7418,Male,39,Beauty,2,119.62,0.12,2020-02-01,South,Online,Credit Card,210.53
TXN-00195,CUST-2575,Female,41,Beauty,6,58.01,0.06,2020-02-01,South,Offline,Debit Card,327.18
TXN-00196,CUST-6119,Female,32,Electronics,4,560.11,0.07,2020-02-01,West,Offline,Digital Wallet,2083.61
TXN-00197,CUST-9026,Female,42,Electronics,1,218.51,0.09,2020-02-02,North,Online,Digital Wallet,198.84
TXN-00198,CUST-1298,Male,21,Furniture,2,1165.99,0.16,2020-02-02,North,Online,Digital Wallet,1958.86
TXN-00199,CUST-8462,Male,60,Grocery,16,97.5,0.1,2020-02-02,North,Offline,Digital Wallet,1404.0
TXN-00200,CUST-8330,Female,22,Grocery,6,48.14,0.02,2020-02-02,East,Online,Credit Card,283.06
TXN-00201,CUST-6557,Female,18,Clothing,3,196.02,0.08,2020-02-02,North,Online,Debit Card,541.02
TXN-00202,CUST-5143,Male,57,Electronics,2,227.83,0.07,2020-02-02,North,Offline,Cash,423.76
TXN-00203,CUST-9468,Female,53,Beauty,3,66.84,0.07,2020-02-03,East,Online,Credit Card,186.48
TXN-00204,CUST-4388,Male,19,Electronics,1,325.8,0.11,2020-02-03,North,Offline,Debit Card,289.96
TXN-00205,CUST-7549,Female,44,Beauty,3,168.74,0.12,2020-02-03,East,Online,Digital Wallet,445.47
TXN-00206,CUST-1558,Male,36,Clothing,2,176.88,0.13,2020-02-03,North,Offline,Credit Card,307.77
TXN-00207,CUST-7097,Male,33,Grocery,17,57.87,0.05,2020-02-03,East,Online,Debit Card,934.6
TXN-00208,CUST-4082,Female,38,Furniture,3,1496.5,0.15,2020-02-03,South,Offline,Credit Card,3816.08
TXN-00209,CUST-4577,Male,42,Clothing,5,382.79,0.13,2020-02-04,East,Online,Credit Card,1665.14
TXN-00210,CUST-4464,Female,32,Grocery,7,26.46,0.12,2020-02-04,South,Online,Credit Card,162.99
TXN-00211,CUST-7043,Female,59,Beauty,1,41.46,0.17,2020-02-04,North,Online,Debit Card,34.41
TXN-00212,CUST-0088,Female,50,Furniture,2,595.22,0.2,2020-02-04,West,Online,Digital Wallet,952.35
TXN-00213,CUST-7511,Male,47,Grocery,10,46.31,0.05,2020-02-04,North,Online,Credit Card,439.94
TXN-00214,CUST-3278,Female,44,Beauty,1,131.29,0.24,2020-02-05,South,Offline,Credit Card,99.78
TXN-00215,CUST-3456,Male,36,Furniture,2,963.75,0.13,2020-02-05,East,Offline,Cash,1676.92
TXN-00216,CUST-2917,Female,31,Clothing,2,238.56,0.08,2020-02-05,East,Offline,Digital Wallet,438.95
TXN-00217,CUST-5997,Male,49,Grocery,6,66.67,0.03,2020-02-05,East,Online,Digital Wallet,388.02
TXN-00218,CUST-3692,Male,27,Furniture,2,510.95,0.08,2020-02-05,West,Online,Credit Card,940.15
TXN-00219,CUST-7935,Male,36,Electronics,2,859.54,0.06,2020-02-06,North,Offline,Credit Card,1615.94
TXN-00220,CUST-8722,Male,32,Electronics,2,220.0,0.08,2020-02-06,North,Online,Digital Wallet,404.8
TXN-00221,CUST-5834,Female,39,Clothing,4,240.4,0.2,2020-02-07,North,Online,Credit Card,769.28
TXN-00222,CUST-5995,Female,68,Grocery,10,82.88,0.04,2020-02-07,North,Offline,Cash,795.65
TXN-00223,CUST-4829,Male,42,Electronics,1,932.56,0.1,2020-02-07,East,Online,Credit Card,839.3
TXN-00224,CUST-5497,Female,23,Clothing,2,179.13,0.13,2020-02-07,East,Online,Digital Wallet,311.69
TXN-00225,CUST-1312,Male,20,Beauty,1,117.5,0.12,2020-02-07,North,Offline,Digital Wallet,103.4
TXN-00226,CUST-2813,Female,52,Beauty,4,67.76,0.08,2020-02-07,East,Offline,Digital Wallet,249.36
TXN-00227,CUST-7097,Female,48,Clothing,1,191.11,0.19,2020-02-07,East,Online,Credit Card,154.8
TXN-00228,CUST-0558,Female,38,Electronics,2,344.74,0.11,2020-02-07,South,Online,Credit Card,613.64
TXN-00229,CUST-7176,Female,18,Electronics,4,296.93,0.11,2020-02-07,West,Offline,Cash,1057.07
TXN-00230,CUST-4722,Female,59,Grocery,10,83.95,0.07,2020-02-08,South,Offline,Credit Card,780.73
TXN-00231,CUST-4833,Female,49,Beauty,3,115.16,0.16,2020-02-08,East,Offline,Digital Wallet,290.2
TXN-00232,CUST-3312,Male,29,Electronics,3,371.57,0.12,2020-02-08,South,Offline,Cash,980.94
TXN-00233,CUST-9096,Female,31,Furniture,2,337.54,0.21,2020-02-08,North,Online,Credit Card,533.31
TXN-00234,CUST-6330,Male,19,Clothing,1,118.08,0.12,2020-02-08,North,Online,Credit Card,103.91
TXN-00235,CUST-1821,Female,54,Beauty,1,130.87,0.16,2020-02-08,East,Offline,Credit Card,109.93
TXN-00236,CUST-3891,Female,24,Beauty,1,82.53,0.1,2020-02-09,West,Offline,Cash,74.28
TXN-00237,CUST-3630,Male,52,Grocery,12,29.44,0.07,2020-02-09,North,Online,Digital Wallet,328.55
TXN-00238,CUST-9000,Male,61,Clothing,2,67.69,0.07,2020-02-09,East,Offline,Digital Wallet,125.9
TXN-00239,CUST-7583,Male,50,Furniture,5,612.0,0.12,2020-02-09,East,Offline,Cash,2692.8
TXN-00240,CUST-2599,Female,22,Clothing,4,159.72,0.17,2020-02-09,South,Offline,Credit Card,530.27
TXN-00241,CUST-7661,Female,29,Beauty,2,79.61,0.2,2020-02-09,East,Online,Digital Wallet,127.38
